GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Shiro :: Samples :: AspectJ,org.apache.shiro.samples.aspectj.bank,BankServiceException,5,4,0,0,2,2,1,1,1,1
Apache Shiro :: Samples :: AspectJ,org.apache.shiro.samples.aspectj.bank,SecureBankService,124,574,11,11,21,89,10,18,2,15
Apache Shiro :: Samples :: AspectJ,org.apache.shiro.samples.aspectj.bank,InactiveAccountException,0,4,0,0,0,2,0,1,0,1
Apache Shiro :: Samples :: AspectJ,org.apache.shiro.samples.aspectj.bank,AccountTransaction.TransactionType,0,24,0,0,0,3,0,1,0,1
Apache Shiro :: Samples :: AspectJ,org.apache.shiro.samples.aspectj.bank,Account,44,169,2,6,6,39,5,12,3,10
Apache Shiro :: Samples :: AspectJ,org.apache.shiro.samples.aspectj.bank,BankService.TxLog,9,12,0,0,3,5,3,1,3,1
Apache Shiro :: Samples :: AspectJ,org.apache.shiro.samples.aspectj.bank,AccountNotFoundException,4,0,0,0,2,0,1,0,1,0
Apache Shiro :: Samples :: AspectJ,org.apache.shiro.samples.aspectj.bank,AccountTransaction,6,92,0,0,2,24,2,9,2,9
Apache Shiro :: Samples :: AspectJ,org.apache.shiro.samples.aspectj.bank,BankServerRunner,42,0,4,0,17,0,7,0,5,0
Apache Shiro :: Samples :: AspectJ,org.apache.shiro.samples.aspectj.bank,NotEnoughFundsException,0,4,0,0,0,2,0,1,0,1
